Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
206,Gareth Barry,eng ENG,MF,West Brom,eng Premier League,36,1981,25,22,"1,923",21.4,1,1,2,1,0,0,4,0,0.05,0.05,0.09,0.05,0.09,Matches
207,Fin Bartels,de GER,FW,Werder Bremen,de Bundesliga,30,1987,14,14,"1,121",12.5,2,3,5,2,0,0,0,0,0.16,0.24,0.4,0.16,0.4,Matches
208,Kyle Bartley,eng ENG,DF,Swansea City,eng Premier League,26,1991,5,2,235,2.6,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
209,Marc Bartra,es ESP,"DF,MF",Dortmund,de Bundesliga,26,1991,12,9,807,9,2,1,3,2,0,0,1,0,0.22,0.11,0.33,0.22,0.33,Matches
210,Marc Bartra,es ESP,DF,Real Betis,es La Liga,26,1991,16,16,"1,420",15.8,1,0,1,1,0,0,6,0,0.06,0,0.06,0.06,0.06,Matches
211,Andrea Barzagli,it ITA,DF,Juventus,it Serie A,36,1981,25,14,"1,447",16.1,0,1,1,0,0,0,2,0,0,0.06,0.06,0,0.06,Matches
212,Daniele Baselli,it ITA,MF,Torino,it Serie A,25,1992,32,30,"2,521",28,4,0,4,4,0,0,13,2,0.14,0,0.14,0.14,0.14,Matches
213,Nicolas Basin,fr FRA,DF,Metz,fr Ligue 1,19,1998,5,3,313,3.5,1,0,1,1,0,0,1,0,0.29,0,0.29,0.29,0.29,Matches
214,Dušan Basta,rs SRB,MF,Lazio,it Serie A,32,1984,11,9,775,8.6,0,1,1,0,0,0,0,0,0,0.12,0.12,0,0.12,Matches
215,Gil Bastião Dias,pt POR,"FW,MF",Fiorentina,it Serie A,20,1996,27,9,"1,190",13.2,2,3,5,2,0,0,1,0,0.15,0.23,0.38,0.15,0.38,Matches
216,Gil Bastião Dias,pt POR,"FW,MF",Monaco,fr Ligue 1,20,1996,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
217,Samuel Bastien,cd COD,MF,Chievo,it Serie A,20,1996,21,15,"1,355",15.1,1,0,1,1,0,0,4,1,0.07,0,0.07,0.07,0.07,Matches
218,Borja Bastón,es ESP,FW,Málaga,es La Liga,24,1992,20,8,985,10.9,2,0,2,1,1,2,2,0,0.18,0,0.18,0.09,0.09,Matches
219,Alessandro Bastoni,it ITA,DF,Atalanta,it Serie A,18,1999,4,0,91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
220,Bastos,ao ANG,DF,Lazio,it Serie A,26,1991,21,16,"1,407",15.6,4,0,4,4,0,0,4,0,0.26,0,0.26,0.26,0.26,Matches
221,Michy Batshuayi,be BEL,FW,Dortmund,de Bundesliga,23,1993,10,9,839,9.3,7,1,8,7,0,0,2,0,0.75,0.11,0.86,0.75,0.86,Matches
222,Michy Batshuayi,be BEL,FW,Chelsea,eng Premier League,23,1993,12,3,360,4,2,1,3,2,0,0,0,0,0.5,0.25,0.75,0.5,0.75,Matches
223,Moritz Bauer,at AUT,"DF,MF",Stoke City,eng Premier League,25,1992,15,15,"1,306",14.5,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches
224,Robert Bauer,de GER,"DF,MF",Werder Bremen,de Bundesliga,22,1995,16,12,956,10.6,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches
225,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,27,1990,34,34,"3,060",34,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
226,Timo Baumgartl,de GER,DF,Stuttgart,de Bundesliga,21,1996,29,29,"2,610",29,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches
227,Julian Baumgartlinger,at AUT,"MF,DF",Leverkusen,de Bundesliga,29,1988,22,17,"1,393",15.5,1,0,1,1,0,0,3,0,0.06,0,0.06,0.06,0.06,Matches
228,Jon Bautista,es ESP,FW,Real Sociedad,es La Liga,22,1995,11,1,181,2,1,0,1,1,0,0,0,0,0.5,0,0.5,0.5,0.5,Matches
229,Paul Baysse,fr FRA,DF,Bordeaux,fr Ligue 1,29,1988,8,6,566,6.3,0,0,0,0,0,0,0,1,0,0,0,0,0,Matches
230,Paul Baysse,fr FRA,DF,Málaga,es La Liga,29,1988,15,13,"1,239",13.8,1,0,1,1,0,0,1,0,0.07,0,0.07,0.07,0.07,Matches
231,Noah Joel Sarenren Bazee,ng NGA,"FW,MF",Hannover 96,de Bundesliga,20,1996,7,0,118,1.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
232,Hervé Bazile,ht HAI,"MF,FW",Caen,fr Ligue 1,27,1990,19,10,876,9.7,0,1,1,0,0,0,1,0,0,0.1,0.1,0,0.1,Matches
233,Riechedly Bazoer,cw CUW,MF,Wolfsburg,de Bundesliga,20,1996,13,6,592,6.6,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
234,Enrico Bearzotti,it ITA,"DF,FW",Hellas Verona,it Serie A,20,1996,6,4,410,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
235,Claudio Beauvue,gp GLP,FW,Leganés,es La Liga,29,1988,28,17,"1,672",18.6,2,0,2,2,0,0,4,0,0.11,0,0.11,0.11,0.11,Matches
236,Bebé,cv CPV,MF,Eibar,es La Liga,27,1990,9,3,365,4.1,0,1,1,0,0,0,0,0,0,0.25,0.25,0,0.25,Matches
237,Ihlas Bebou,tg TOG,"MF,FW",Hannover 96,de Bundesliga,23,1994,30,20,"2,140",23.8,5,2,7,5,0,0,3,0,0.21,0.08,0.29,0.21,0.29,Matches
238,Andreas Beck,de GER,"MF,DF",Stuttgart,de Bundesliga,30,1987,23,22,"1,927",21.4,1,1,2,1,0,0,5,0,0.05,0.05,0.09,0.05,0.09,Matches
239,Henri Bedimo,cm CMR,DF,Marseille,fr Ligue 1,33,1984,3,0,42,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
240,Jan Bednarek,pl POL,DF,Southampton,eng Premier League,21,1996,5,5,426,4.7,1,0,1,1,0,0,1,0,0.21,0,0.21,0.21,0.21,Matches
241,Asmir Begović,ba BIH,GK,Bournemouth,eng Premier League,30,1987,38,38,"3,420",38,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
242,Valon Behrami,ch SUI,MF,Udinese,it Serie A,32,1985,20,18,"1,398",15.5,1,0,1,1,0,0,5,0,0.06,0,0.06,0.06,0.06,Matches
