Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
512,Adrien Rabiot,fr FRA,MF,it Juventus,24,1995,4.1,0,2,1,50,0.49,0.25,0,0,0,0,Matches
513,Rafael,br BRA,DF,fr Lyon,29,1990,0.8,0,0,0,,0,0,,,0,0,Matches
514,Ivan Rakitić,hr CRO,MF,es Barcelona,31,1988,3.8,0,9,0,0,2.35,0,0,,0,0,Matches
515,Yaroslav Rakitskiy,ua UKR,DF,ru Zenit,29,1989,5,1,2,1,50,0.4,0.2,0.5,1,0,0,Matches
516,André Ramalho,br BRA,DF,at RB Salzburg,27,1992,2,0,2,1,50,1,0.5,0,0,0,0,Matches
517,Sergio Ramos,es ESP,DF,es Real Madrid,33,1986,4.9,2,7,3,42.9,1.42,0.61,0.14,0.33,1,1,Matches
518,Aaron Ramsey,wls WAL,"MF,FW",it Juventus,28,1990,2.2,1,3,1,33.3,1.34,0.45,0.33,1,0,0,Matches
519,Lazar Ranđelović,rs SRB,FW,gr Olympiacos,21,1997,1,0,1,0,0,1.02,0,0,,0,0,Matches
520,Jeff Reine-Adélaïde,fr FRA,MF,fr Lyon,21,1998,3.6,0,5,0,0,1.37,0,0,,0,0,Matches
521,Francisco Reis Ferreira,pt POR,DF,pt Benfica,22,1997,4.2,0,1,0,0,0.24,0,0,,0,0,Matches
522,Loïc Rémy,fr FRA,FW,fr Lille,32,1987,2.3,1,9,3,33.3,3.88,1.29,0.11,0.33,0,0,Matches
523,Panagiotis Retsos,gr GRE,DF,de Leverkusen,20,1998,1.1,0,0,0,,0,0,,,0,0,Matches
524,Marco Reus,de GER,"FW,MF",de Dortmund,30,1989,4,0,10,6,60,2.5,1.5,0,0,0,1,Matches
525,Gio Reyna,us USA,MF,de Dortmund,16,2002,0.5,0,1,0,0,2.09,0,0,,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
526,Jander Ribeiro Santana,br BRA,DF,rs Red Star,31,1988,1.6,0,2,0,0,1.25,0,0,,0,0,Matches
527,Federico Ricca,uy URU,"DF,MF",be Club Brugge,24,1994,3,0,1,0,0,0.33,0,0,,0,0,Matches
528,Sergio Rico,es ESP,GK,fr Paris Saint-Germain,25,1993,2.1,0,0,0,,0,0,,,0,0,Matches
529,Mats Rits,be BEL,MF,be Club Brugge,26,1993,4.4,0,3,0,0,0.68,0,0,,0,0,Matches
530,Sergi Roberto,es ESP,"MF,DF",es Barcelona,27,1992,4.6,0,1,1,100,0.22,0.22,0,0,0,0,Matches
531,Andrew Robertson,sct SCO,DF,eng Liverpool,25,1994,7.2,1,9,2,22.2,1.25,0.28,0.11,0.5,0,0,Matches
532,Milan Rodić,rs SRB,DF,rs Red Star,28,1991,4.9,0,2,0,0,0.41,0,0,,0,0,Matches
533,Rodri,es ESP,"MF,DF",eng Manchester City,23,1996,6.9,0,8,3,37.5,1.16,0.44,0,0,0,0,Matches
534,Rodrigo,es ESP,FW,es Valencia,28,1991,5.8,2,22,6,27.3,3.76,1.03,0.09,0.33,0,0,Matches
535,James Rodríguez,co COL,MF,es Real Madrid,28,1991,0.9,0,1,0,0,1.11,0,0,,0,0,Matches
536,Rodrygo,br BRA,"FW,MF",es Real Madrid,18,2001,3.7,4,8,5,62.5,2.18,1.36,0.5,0.8,0,0,Matches
537,Cristiano Ronaldo,pt POR,FW,it Juventus,34,1985,7.9,4,40,15,37.5,5.06,1.9,0.08,0.2,1,1,Matches
538,Marten de Roon,nl NED,MF,it Atalanta,28,1991,8.5,0,6,0,0,0.71,0,0,,0,0,Matches
539,Danny Rose,eng ENG,DF,eng Tottenham Hotspur,29,1990,4,0,0,0,,0,0,,,0,0,Matches
540,Antonio Rüdiger,de GER,DF,eng Chelsea,26,1993,2,0,0,0,,0,0,,,0,0,Matches
541,Daniele Rugani,it ITA,DF,it Juventus,25,1994,2,0,0,0,,0,0,,,0,0,Matches
