Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
77,Ismaël Bennacer,dz ALG,MF,it Milan,26,1997,1,1,74,0.8,0,1,1,0,0,0,0,0,0,1.22,1.22,0,1.22,Matches
78,Ramy Bensebaini,dz ALG,DF,de Dortmund,29,1995,12,8,745,8.3,2,1,3,2,0,0,4,0,0.24,0.12,0.36,0.24,0.36,Matches
79,Lucas Beraldo,br BRA,DF,fr Paris Saint-Germain,20,2003,4,1,142,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
80,Thomas Berenbruch,it ITA,MF,it Inter,19,2005,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
81,Paulo Bernardo,pt POR,MF,sct Celtic,22,2002,8,2,241,2.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
82,Maxime Bernauer,fr FRA,DF,hr Dinamo Zagreb,26,1998,6,5,466,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
83,Jan-Niklas Beste,de GER,"DF,MF",pt Benfica,25,1999,5,0,113,1.3,0,1,1,0,0,0,0,0,0,0.8,0.8,0,0.8,Matches
84,Sam Beukema,nl NED,DF,it Bologna,25,1998,8,8,646,7.2,0,1,1,0,0,0,3,0,0,0.14,0.14,0,0.14,Matches
85,Mads Bidstrup,dk DEN,MF,at RB Salzburg,23,2001,5,4,331,3.7,1,0,1,1,0,0,1,0,0.27,0,0.27,0.27,0.27,Matches
86,Biel,br BRA,MF,pt Sporting CP,23,2001,2,1,73,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
87,Mika Biereth,dk DEN,FW,at Sturm Graz,21,2003,6,6,470,5.2,2,0,2,2,0,0,0,0,0.38,0,0.38,0.38,0.38,Matches
88,Mika Biereth,dk DEN,FW,fr Monaco,21,2003,2,1,82,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
89,Justin Bijlow,nl NED,GK,nl Feyenoord,26,1998,2,2,125,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
90,El Bilal Touré,ml MLI,FW,de Stuttgart,22,2001,4,1,139,1.5,1,0,1,1,0,0,0,0,0.65,0,0.65,0.65,0.65,Matches
91,Veljko Birmančević,rs SRB,FW,cz Sparta Prague,26,1998,6,6,491,5.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
92,Marco Bizot,nl NED,GK,fr Brest,33,1991,9,9,810,9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
93,César Blackman,pa PAN,"DF,MF",sk Slovan Bratislava,26,1998,8,8,718,8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
94,Hendry Blank,de GER,DF,at RB Salzburg,19,2004,4,3,284,3.2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
95,Janis Blaswich,de GER,GK,at RB Salzburg,33,1991,5,4,382,4.2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
96,Daley Blind,nl NED,DF,es Girona,34,1990,4,4,322,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
97,Lewin Blum,ch SUI,DF,ch Young Boys,23,2001,7,5,440,4.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
98,Benjamin Boakye,de GER,MF,de Stuttgart,19,2005,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
99,Sacha Boey,fr FRA,DF,de Bayern Munich,23,2000,3,1,104,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
100,Lamare Bogarde,nl NED,"MF,DF",eng Aston Villa,20,2004,4,2,141,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
101,Valerii Bondar,ua UKR,DF,ua Shakhtar Donetsk,25,1999,8,8,720,8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
102,Artem Bondarenko,ua UKR,MF,ua Shakhtar Donetsk,23,2000,8,5,462,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
103,Victor Boniface,ng NGA,FW,de Leverkusen,23,2000,4,3,240,2.7,1,0,1,1,0,0,0,0,0.37,0,0.37,0.37,0.37,Matches
104,Olivier Boscagli,fr FRA,DF,nl PSV,26,1997,11,10,910,10.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
105,Ayyoub Bouaddi,fr FRA,MF,fr Lille,16,2007,9,7,622,6.9,0,1,1,0,0,0,1,0,0,0.14,0.14,0,0.14,Matches
106,Conor Bradley,nir NIR,DF,eng Liverpool,21,2003,5,3,277,3.1,0,1,1,0,0,0,0,0,0,0.32,0.32,0,0.32,Matches
107,Daniel Bragança,pt POR,MF,pt Sporting CP,25,1999,8,2,318,3.5,1,2,3,1,0,0,1,0,0.28,0.57,0.85,0.28,0.85,Matches
108,Julian Brandt,de GER,MF,de Dortmund,28,1996,13,11,877,9.7,0,5,5,0,0,0,0,0,0,0.51,0.51,0,0.51,Matches
109,Fabian Bredlow,de GER,GK,de Stuttgart,29,1995,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
110,Gleison Bremer,br BRA,DF,it Juventus,27,1997,2,2,95,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
111,Marco Brescianini,it ITA,MF,it Atalanta,24,2000,6,1,127,1.4,1,0,1,1,0,0,1,0,0.71,0,0.71,0.71,0.71,Matches
112,Alexandre Brito,pt POR,MF,pt Sporting CP,19,2005,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
113,Emi Buendía,ar ARG,"FW,MF",de Leverkusen,27,1996,2,0,11,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
114,Emi Buendía,ar ARG,MF,eng Aston Villa,27,1996,4,1,114,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
115,Hugo Bueno,es ESP,"DF,MF",nl Feyenoord,21,2002,9,6,546,6.1,0,1,1,0,0,0,1,0,0,0.16,0.16,0,0.16,Matches
116,Nathan Butler-Oyedeji,eng ENG,FW,eng Arsenal,21,2003,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
