Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
21,Alisson,br BRA,GK,it Roma,24,1992,12,12,"1,080",12,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
22,Allan,br BRA,MF,it Napoli,26,1991,6,3,307,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
23,Dele Alli,eng ENG,"MF,FW",eng Tottenham Hotspur,21,1996,5,5,428,4.8,2,3,5,2,0,0,1,0,0.42,0.63,1.05,0.42,1.05,Matches
24,André Almeida,pt POR,DF,pt Benfica,26,1990,4,3,259,2.9,0,0,0,0,0,0,1,1,0,0,0,0,0,Matches
25,André Almeida Pinto,pt POR,DF,pt Sporting CP,27,1989,2,2,180,2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
26,Richard Almeida,az AZE,MF,az Qarabağ,28,1989,6,6,540,6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
27,Stathis Aloneftis,cy CYP,"MF,FW",cy APOEL FC,34,1983,6,6,502,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
28,Marcos Alonso,es ESP,"MF,DF",eng Chelsea,26,1990,7,7,598,6.6,0,1,1,0,0,0,2,0,0,0.15,0.15,0,0.15,Matches
29,Éder Álvarez Balanta,co COL,DF,ch Basel,24,1993,6,6,530,5.9,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
30,Dani Alves,br BRA,DF,fr Paris Saint-Germain,34,1983,8,8,720,8,2,0,2,2,0,0,0,0,0.25,0,0.25,0.25,0.25,Matches
31,Sofyan Amrabat,ma MAR,MF,nl Feyenoord,20,1996,6,6,528,5.9,1,0,1,1,0,0,1,0,0.17,0,0.17,0.17,0.17,Matches
32,André André,pt POR,"MF,FW",pt Porto,27,1989,4,2,225,2.5,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
33,Thanasis Androutsos,gr GRE,MF,gr Olympiacos,20,1997,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
34,Minas Antoniou,cy CYP,FW,cy APOEL FC,23,1994,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
35,Mirko Antonucci,it ITA,"FW,MF",it Roma,18,1999,1,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
36,Dennis Appiah,fr FRA,"DF,MF",be Anderlecht,25,1992,6,5,514,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
37,Alphonse Areola,fr FRA,GK,fr Paris Saint-Germain,24,1993,8,8,720,8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
38,Stuart Armstrong,sct SCO,MF,sct Celtic,25,1992,4,4,236,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
39,Tolgay Arslan,de GER,MF,tr Beşiktaş,26,1990,6,4,323,3.6,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
40,Kwadwo Asamoah,gh GHA,DF,it Juventus,28,1988,3,1,99,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
41,Marco Asensio,es ESP,MF,es Real Madrid,21,1996,12,3,472,5.2,1,1,2,1,0,0,0,0,0.19,0.19,0.38,0.19,0.38,Matches
42,Pierre-Emerick Aubameyang,ga GAB,FW,de Dortmund,28,1989,6,6,540,6,4,0,4,4,0,0,0,0,0.67,0,0.67,0.67,0.67,Matches
43,Jean-Kévin Augustin,fr FRA,FW,de RB Leipzig,20,1997,5,4,341,3.8,1,0,1,1,0,0,1,0,0.26,0,0.26,0.26,0.26,Matches
44,Filipe Augusto,br BRA,MF,pt Benfica,23,1993,3,3,237,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
45,Serge Aurier,ci CIV,"DF,MF",eng Tottenham Hotspur,24,1992,6,6,507,5.6,0,1,1,0,0,0,3,0,0,0.18,0.18,0,0.18,Matches
46,Márcio Azevedo,br BRA,DF,ua Shakhtar Donetsk,31,1986,1,0,26,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
47,César Azpilicueta,es ESP,"DF,MF",eng Chelsea,27,1989,8,8,705,7.8,1,0,1,1,0,0,0,0,0.13,0,0.13,0.13,0.13,Matches
48,Ryan Babel,nl NED,MF,tr Beşiktaş,30,1986,7,6,555,6.2,2,1,3,2,0,0,0,0,0.32,0.16,0.49,0.32,0.49,Matches
49,Eric Bailly,ci CIV,DF,eng Manchester Utd,23,1994,3,3,270,3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
50,Gregor Bajde,si SVN,MF,si NK Maribor,23,1994,4,3,248,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
51,Tiemoué Bakayoko,fr FRA,MF,eng Chelsea,22,1994,5,4,361,4,1,1,2,1,0,0,1,0,0.25,0.25,0.5,0.25,0.5,Matches
52,Keita Baldé,sn SEN,"FW,MF",fr Monaco,22,1995,6,3,289,3.2,0,2,2,0,0,0,1,0,0,0.62,0.62,0,0.62,Matches
53,Gareth Bale,wls WAL,FW,es Real Madrid,28,1989,7,3,297,3.3,3,2,5,3,0,0,1,0,0.91,0.61,1.52,0.91,1.52,Matches
54,Éver Banega,ar ARG,MF,es Sevilla,29,1988,9,9,792,8.8,1,2,3,1,0,0,4,0,0.11,0.23,0.34,0.11,0.34,Matches
55,Gabriel Barbosa,br BRA,"FW,MF",pt Benfica,20,1996,2,0,30,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
56,Marc Bartra,es ESP,"DF,MF",de Dortmund,26,1991,4,4,350,3.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
57,Andrea Barzagli,it ITA,DF,it Juventus,36,1981,8,7,654,7.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
58,Bilal Başaçıkoğlu,tr TUR,"FW,MF",nl Feyenoord,22,1995,2,0,29,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
59,Michy Batshuayi,be BEL,FW,eng Chelsea,23,1993,4,1,122,1.4,2,0,2,2,0,0,0,0,1.48,0,1.48,1.48,1.48,Matches
60,Rodrigo Battaglia,ar ARG,MF,pt Sporting CP,26,1991,6,6,537,6,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
61,Sven van Beek,nl NED,DF,nl Feyenoord,23,1994,4,3,269,3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
62,Wissam Ben Yedder,fr FRA,FW,es Sevilla,26,1990,9,8,651,7.2,8,0,8,6,2,2,2,0,1.11,0,1.11,0.83,0.83,Matches
63,Diego Benaglio,ch SUI,GK,fr Monaco,33,1983,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
64,Medhi Benatia,ma MAR,DF,it Juventus,30,1987,8,7,566,6.3,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches
65,Rodrigo Bentancur,uy URU,MF,it Juventus,20,1997,5,3,291,3.2,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
66,Karim Benzema,fr FRA,FW,es Real Madrid,29,1987,9,8,600,6.7,5,0,5,5,0,0,0,0,0.75,0,0.75,0.75,0.75,Matches
67,Yuri Berchiche,es ESP,DF,fr Paris Saint-Germain,27,1990,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
68,Aleksei Berezutski,ru RUS,DF,ru CSKA Moscow,35,1982,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
69,Vasili Berezutski,ru RUS,DF,ru CSKA Moscow,35,1982,5,5,450,5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
70,Steven Berghuis,nl NED,"FW,MF",nl Feyenoord,25,1991,6,6,466,5.2,1,2,3,1,0,0,2,0,0.19,0.39,0.58,0.19,0.58,Matches
71,Bernard,br BRA,MF,ua Shakhtar Donetsk,24,1992,8,8,681,7.6,3,0,3,3,0,0,0,0,0.4,0,0.4,0.4,0.4,Matches
72,Federico Bernardeschi,it ITA,MF,it Juventus,23,1994,5,1,136,1.5,1,0,1,1,0,0,0,0,0.66,0,0.66,0.66,0.66,Matches
73,Bernardo,br BRA,DF,de RB Leipzig,22,1995,3,1,114,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
74,Juan Bernat,es ESP,DF,de Bayern Munich,24,1993,1,1,46,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
75,Jean-Claude Billong,cm CMR,DF,si NK Maribor,23,1993,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
76,Nir Bitton,il ISR,DF,sct Celtic,25,1991,3,1,187,2.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
77,Daley Blind,nl NED,"DF,MF",eng Manchester Utd,27,1990,6,6,540,6,1,1,2,1,0,0,1,0,0.17,0.17,0.33,0.17,0.33,Matches
78,Jérôme Boateng,de GER,DF,de Bayern Munich,28,1988,9,8,677,7.5,0,1,1,0,0,0,2,0,0,0.13,0.13,0,0.13,Matches
79,Salvatore Bocchetti,it ITA,DF,ru Spartak Moscow,30,1986,3,3,270,3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
80,Frank Boeckx,be BEL,GK,be Anderlecht,30,1986,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
81,Jean-Paul Boëtius,sr SUR,FW,nl Feyenoord,23,1994,6,6,519,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
82,Damjan Bohar,si SVN,MF,si NK Maribor,25,1991,6,6,484,5.4,1,0,1,1,0,0,2,0,0.19,0,0.19,0.19,0.19,Matches
83,Gabriel Boschilia,br BRA,"FW,MF",fr Monaco,21,1996,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
84,Alberto Botía,es ESP,DF,gr Olympiacos,28,1989,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
85,Eric Botteghin,br BRA,DF,nl Feyenoord,29,1987,1,1,90,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
86,Dedryck Boyata,be BEL,DF,sct Celtic,26,1990,5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
87,Yacine Brahimi,dz ALG,MF,pt Porto,27,1990,7,7,568,6.3,1,1,2,1,0,0,1,0,0.16,0.16,0.32,0.16,0.32,Matches
88,Claudio Bravo,cl CHI,GK,eng Manchester City,34,1983,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
89,Scott Brown,sct SCO,MF,sct Celtic,32,1985,6,6,520,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
90,Bruma,pt POR,"MF,FW",de RB Leipzig,22,1994,5,3,274,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
91,Massimo Bruno,be BEL,"FW,MF",be Anderlecht,23,1993,4,0,48,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
92,Kevin Bua,ch SUI,MF,ch Basel,23,1993,5,1,102,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
93,Gianluigi Buffon,it ITA,GK,it Juventus,39,1978,9,9,810,9,0,0,0,0,0,0,0,1,0,0,0,0,0,Matches
94,Roman Bürki,ch SUI,GK,de Dortmund,26,1990,6,6,540,6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
95,Sergio Busquets,es ESP,MF,es Barcelona,29,1988,10,9,768,8.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
96,Bohdan Butko,ua UKR,DF,ua Shakhtar Donetsk,26,1991,7,7,630,7,0,1,1,0,0,0,1,0,0,0.14,0.14,0,0.14,Matches
97,Gary Cahill,eng ENG,DF,eng Chelsea,31,1985,6,5,448,5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
98,Fabrizio Caligara,it ITA,MF,it Juventus,17,2000,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
99,José Callejón,es ESP,FW,it Napoli,30,1987,6,6,507,5.6,1,1,2,1,0,0,0,0,0.18,0.18,0.36,0.18,0.36,Matches
100,Igor de Camargo,be BEL,FW,cy APOEL FC,34,1983,5,3,234,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
101,Emre Can,de GER,MF,eng Liverpool,23,1994,8,6,533,5.9,1,0,1,1,0,0,3,0,0.17,0,0.17,0.17,0.17,Matches
102,Mehdi Carcela,ma MAR,"MF,FW",gr Olympiacos,28,1989,4,4,268,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
103,Carlão,br BRA,DF,cy APOEL FC,31,1986,5,5,450,5,0,1,1,0,0,0,1,0,0,0.2,0.2,0,0.2,Matches
104,Yannick Carrasco,be BEL,MF,es Atlético Madrid,23,1993,5,3,269,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
105,Guido Carrillo,ar ARG,FW,fr Monaco,26,1991,5,1,134,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
106,Dani Carvajal,es ESP,DF,es Real Madrid,25,1992,8,8,644,7.2,0,3,3,0,0,0,4,0,0,0.42,0.42,0,0.42,Matches
107,João Carvalho,pt POR,MF,pt Benfica,20,1997,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
108,William Carvalho,pt POR,MF,pt Sporting CP,25,1992,5,5,450,5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
109,Casemiro,br BRA,MF,es Real Madrid,25,1992,12,11,945,10.5,1,0,1,1,0,0,2,0,0.1,0,0.1,0.1,0.1,Matches
110,Kiko Casilla,es ESP,GK,es Real Madrid,30,1986,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
111,Iker Casillas,es ESP,GK,pt Porto,36,1981,3,3,270,3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
112,Gonzalo Castro,de GER,MF,de Dortmund,30,1987,3,1,132,1.5,0,1,1,0,0,0,1,0,0,0.68,0.68,0,0.68,Matches
113,Edinson Cavani,uy URU,FW,fr Paris Saint-Germain,30,1987,8,8,680,7.6,7,1,8,6,1,1,1,0,0.93,0.13,1.06,0.79,0.93,Matches
114,Dani Ceballos,es ESP,MF,es Real Madrid,20,1996,4,0,82,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
115,Franco Cervi,ar ARG,MF,pt Benfica,23,1994,3,1,97,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
116,Bruno César,br BRA,MF,pt Sporting CP,28,1988,5,3,253,2.8,2,0,2,2,0,0,1,0,0.71,0,0.71,0.71,0.71,Matches
117,Júlio César,br BRA,GK,pt Benfica,37,1979,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
118,Fyodor Chalov,ru RUS,FW,ru CSKA Moscow,19,1998,3,2,145,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
119,Giorgio Chiellini,it ITA,DF,it Juventus,32,1984,7,7,630,7,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
120,Alexandru Chipciu,ro ROU,DF,be Anderlecht,28,1989,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
121,Vlad Chiricheș,ro ROU,DF,it Napoli,27,1989,1,1,90,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
122,Andreas Christensen,dk DEN,DF,eng Chelsea,21,1996,6,5,454,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
123,Jasper Cillessen,nl NED,GK,es Barcelona,28,1989,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
124,Orkan Çınar,tr TUR,MF,tr Beşiktaş,21,1996,1,0,22,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
125,Nathaniel Clyne,eng ENG,DF,eng Liverpool,26,1991,2,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
126,Sebastián Coates,uy URU,DF,pt Sporting CP,26,1990,5,5,450,5,0,1,1,0,0,0,3,0,0,0.2,0.2,0,0.2,Matches
127,Fábio Coentrão,pt POR,DF,pt Sporting CP,29,1988,4,3,267,3,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
128,Kingsley Coman,fr FRA,"MF,FW",de Bayern Munich,21,1996,6,4,388,4.3,2,2,4,2,0,0,0,0,0.46,0.46,0.93,0.46,0.93,Matches
129,Marvin Compper,de GER,DF,de RB Leipzig,32,1985,1,0,19,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
130,Sébastien Corchia,fr FRA,DF,es Sevilla,26,1990,3,1,104,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
131,Jesús Corona,mx MEX,MF,pt Porto,24,1993,8,3,318,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
132,Ángel Correa,ar ARG,"MF,FW",es Atlético Madrid,22,1995,6,2,254,2.8,0,1,1,0,0,0,0,0,0,0.35,0.35,0,0.35,Matches
133,Joaquín Correa,ar ARG,"MF,FW",es Sevilla,22,1994,8,7,626,7,1,3,4,1,0,0,2,1,0.14,0.43,0.58,0.14,0.58,Matches
134,Douglas Costa,br BRA,"MF,FW",it Juventus,26,1990,10,8,719,8,0,1,1,0,0,0,1,0,0,0.13,0.13,0,0.13,Matches
135,Thibaut Courtois,be BEL,GK,eng Chelsea,25,1992,8,8,720,8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
136,Philippe Coutinho,br BRA,"MF,FW",eng Liverpool,25,1992,5,4,347,3.9,5,2,7,4,1,1,0,0,1.3,0.52,1.82,1.04,1.56,Matches
137,Juan Cuadrado,co COL,MF,it Juventus,29,1988,6,5,410,4.6,1,1,2,1,0,0,1,0,0.22,0.22,0.44,0.22,0.44,Matches
138,Mahmoud Dahoud,de GER,MF,de Dortmund,21,1996,3,2,192,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
139,Diogo Dalot,pt POR,DF,pt Porto,18,1999,1,1,90,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
140,Danilo,br BRA,"DF,MF",eng Manchester City,26,1991,6,4,368,4.1,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
141,Matteo Darmian,it ITA,DF,eng Manchester Utd,27,1989,3,2,203,2.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
142,Ben Davies,wls WAL,"DF,MF",eng Tottenham Hotspur,24,1993,5,5,450,5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
143,Kevin De Bruyne,be BEL,MF,eng Manchester City,26,1991,8,8,667,7.4,1,4,5,1,0,0,4,0,0.13,0.54,0.67,0.13,0.67,Matches
144,Daniele De Rossi,it ITA,MF,it Roma,34,1983,10,9,776,8.6,1,1,2,0,1,1,0,0,0.12,0.12,0.23,0,0.12,Matches
145,Mattia De Sciglio,it ITA,DF,it Juventus,24,1992,6,6,393,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
146,Grégoire Defrel,mq MTQ,FW,it Roma,26,1991,5,2,166,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
147,Fabian Delph,eng ENG,DF,eng Manchester City,27,1989,5,4,383,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
148,Mousa Dembélé,be BEL,MF,eng Tottenham Hotspur,30,1987,6,3,328,3.6,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
149,Moussa Dembélé,fr FRA,FW,sct Celtic,21,1996,4,3,266,3,1,0,1,1,0,0,0,0,0.34,0,0.34,0.34,0.34,Matches
150,Ousmane Dembélé,fr FRA,"MF,FW",es Barcelona,20,1997,3,2,143,1.6,1,0,1,1,0,0,0,0,0.63,0,0.63,0.63,0.63,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
151,Diego Demme,de GER,MF,de RB Leipzig,25,1991,4,3,325,3.6,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
152,Leander Dendoncker,be BEL,"MF,DF",be Anderlecht,22,1995,6,6,540,6,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
153,Dentinho,br BRA,"FW,MF",ua Shakhtar Donetsk,28,1989,5,0,34,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
154,Jan-Arie van der Heijden,nl NED,DF,nl Feyenoord,29,1988,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
155,Olivier Deschacht,be BEL,DF,be Anderlecht,36,1981,4,4,326,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
156,Gerard Deulofeu,es ESP,"MF,FW",es Barcelona,23,1994,3,2,147,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
157,Ángel Di María,ar ARG,FW,fr Paris Saint-Germain,29,1988,5,1,143,1.6,1,1,2,1,0,0,0,0,0.63,0.63,1.26,0.63,1.26,Matches
158,Adama Diakhaby,fr FRA,"FW,MF",fr Monaco,21,1996,5,3,228,2.5,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
159,Lassana Diarra,fr FRA,MF,fr Paris Saint-Germain,32,1985,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
160,Rúben Dias,pt POR,DF,pt Benfica,20,1997,2,2,180,2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
161,Amadou Diawara,gn GUI,MF,it Napoli,20,1997,5,4,370,4.1,1,0,1,0,1,1,1,0,0.24,0,0.24,0,0,Matches
162,Brahim Díaz,ma MAR,"FW,MF",eng Manchester City,17,1999,3,0,52,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
163,Serey Die,ci CIV,MF,ch Basel,32,1984,5,3,287,3.2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
164,Eric Dier,eng ENG,"MF,DF",eng Tottenham Hotspur,23,1994,7,7,614,6.8,0,1,1,0,0,0,1,0,0,0.15,0.15,0,0.15,Matches
165,Lucas Digne,fr FRA,DF,es Barcelona,24,1993,3,3,270,3,1,0,1,1,0,0,1,0,0.33,0,0.33,0.33,0.33,Matches
166,Kevin Diks,id IDN,DF,nl Feyenoord,20,1996,3,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
167,Joshgun Diniyev,az AZE,MF,az Qarabağ,21,1995,2,0,64,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
168,Bas Dost,nl NED,FW,pt Sporting CP,28,1989,6,3,378,4.2,2,0,2,2,0,0,1,0,0.48,0,0.48,0.48,0.48,Matches
169,Douglas,br BRA,DF,pt Benfica,26,1990,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
170,Seydou Doumbia,ci CIV,FW,pt Sporting CP,29,1987,4,2,119,1.3,1,1,2,1,0,0,1,0,0.76,0.76,1.51,0.76,1.51,Matches
171,Julian Draxler,de GER,MF,fr Paris Saint-Germain,23,1993,8,3,315,3.5,0,1,1,0,0,0,1,0,0,0.29,0.29,0,0.29,Matches
172,Danny Drinkwater,eng ENG,MF,eng Chelsea,27,1990,3,0,40,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
173,Paulo Dybala,ar ARG,"MF,FW",it Juventus,23,1993,8,8,661,7.3,1,0,1,1,0,0,0,2,0.14,0,0.14,0.14,0.14,Matches
