Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
61,Manuel Akanji,ch SUI,"DF,MF",Manchester City,eng Premier League,29,1995,22.4,3,0,0,17,9,0,11,9,11,,,0,Matches
62,Ümit Akdag,ro ROU,DF,Toulouse,fr Ligue 1,20,2003,5.6,2,0,0,8,1,0,3,12,4,,,0,Matches
63,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,29,1995,7.5,0,0,0,2,0,0,1,3,6,,,0,Matches
64,Ilias Akhomach,ma MAR,MF,Villarreal,es La Liga,20,2004,6.5,1,0,0,9,21,1,19,2,8,,,0,Matches
65,Sergio Akieme,es ESP,DF,Reims,fr Ligue 1,26,1997,28,5,0,0,25,21,1,95,17,23,,,0,Matches
66,Maghnes Akliouche,fr FRA,MF,Monaco,fr Ligue 1,22,2002,26.7,2,0,0,31,38,8,52,15,32,,,0,Matches
67,Paul Akouokou,ci CIV,MF,Lyon,fr Ligue 1,26,1997,0.2,1,0,0,3,0,0,0,1,0,,,0,Matches
68,Clément Akpa,ci CIV,DF,Auxerre,fr Ligue 1,22,2001,27.6,7,0,0,15,35,0,26,40,33,,,0,Matches
69,Jean-Daniel Akpa-Akpro,ci CIV,MF,Monza,it Serie A,31,1992,10.7,4,0,0,24,18,0,6,11,19,,,0,Matches
70,David Akpan Ankeye,ng NGA,FW,Genoa,it Serie A,22,2002,0.5,0,0,0,3,1,0,0,0,0,,,0,Matches
71,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,29,1995,24.7,3,0,0,24,23,1,12,25,26,,,0,Matches
72,Chuba Akpom,eng ENG,FW,Lille,fr Ligue 1,28,1995,7.1,0,0,0,11,15,2,1,0,5,,,0,Matches
73,Al-Musrati,ly LBY,MF,Monaco,fr Ligue 1,28,1996,4.3,0,0,0,5,3,0,0,5,11,,,0,Matches
74,David Alaba,at AUT,DF,Real Madrid,es La Liga,32,1992,3.5,1,0,0,2,0,0,3,6,0,,,0,Matches
75,Ibrahim Alani,ng NGA,MF,Valladolid,es La Liga,18,2006,1.8,0,0,0,2,5,0,0,1,7,,,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
76,Andreas Albers,dk DEN,"FW,MF",St Pauli,de Bundesliga,34,1990,0.7,0,0,0,3,2,0,0,0,0,,,0,Matches
77,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,38,1985,13.2,5,0,0,11,6,0,0,5,8,,,1,Matches
78,Carlos Alcaraz,ar ARG,MF,Southampton,eng Premier League,21,2002,0.1,0,0,0,1,0,0,1,1,0,,,0,Matches
79,Carlos Alcaraz,ar ARG,MF,Everton,eng Premier League,21,2002,8.5,4,0,0,13,12,1,11,5,4,,,0,Matches
80,Omar Alderete,py PAR,DF,Getafe,es La Liga,27,1996,33,8,0,0,33,12,8,6,37,27,,,0,Matches
81,Carles Aleñá,es ESP,MF,Getafe,es La Liga,26,1998,5,1,0,0,8,11,2,6,0,3,,,0,Matches
82,Carles Aleñá,es ESP,MF,Alavés,es La Liga,26,1998,12.1,1,0,0,11,24,0,31,1,12,,,0,Matches
83,Ben Alexander Voll,de GER,GK,St Pauli,de Bundesliga,23,2000,1,1,0,0,0,0,0,0,0,0,,,0,Matches
84,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,25,1998,26.3,5,0,0,11,9,1,154,31,49,,,0,Matches
85,Alfon,es ESP,"FW,MF",Celta Vigo,es La Liga,25,1999,15.2,1,1,0,15,31,6,39,4,3,,,0,Matches
86,Mohamed Ali Cho,fr FRA,"FW,MF",Nice,fr Ligue 1,20,2004,18,2,0,0,12,41,9,51,5,10,,,0,Matches
87,Faride Alidou,de GER,FW,Hellas Verona,it Serie A,23,2001,0.8,0,0,0,1,0,0,3,1,0,,,0,Matches
88,Alisson,br BRA,GK,Liverpool,eng Premier League,31,1992,27.9,0,0,0,0,2,0,0,0,0,,,0,Matches
89,Tadeo Allende,ar ARG,MF,Celta Vigo,es La Liga,25,1999,0,1,0,0,0,0,0,0,0,0,,,0,Matches
90,Jim Allevinah,ga GAB,MF,Angers,fr Ligue 1,29,1995,19.4,3,0,0,18,25,10,35,12,14,,,0,Matches
91,Dele Alli,eng ENG,"FW,MF",Como,it Serie A,28,1996,0.1,0,1,0,1,0,0,0,0,0,,,0,Matches
92,Thiago Almada,ar ARG,MF,Lyon,fr Ligue 1,23,2001,10.6,3,0,0,10,8,1,46,7,9,,,0,Matches
93,Domingos André Ribeiro Almeida,pt POR,"MF,FW",Valencia,es La Liga,24,2000,22,2,0,0,28,38,2,67,7,32,,,0,Matches
94,Iker Almena,es ESP,MF,Girona,es La Liga,20,2004,0.5,0,0,0,0,1,0,4,0,0,,,0,Matches
95,Miguel Almirón,py PAR,FW,Newcastle United,eng Premier League,30,1994,1.7,0,0,0,1,3,2,0,0,2,,,0,Matches
96,Pontus Almqvist,se SWE,"FW,MF",Parma,it Serie A,25,1999,12.4,5,0,0,15,15,2,11,20,14,,,0,Matches
97,Marcos Alonso,es ESP,DF,Celta Vigo,es La Liga,33,1990,29.4,10,2,1,31,28,2,41,33,21,,,0,Matches
98,Giorgio Altare,it ITA,DF,Venezia,it Serie A,25,1998,8.4,2,0,0,10,2,0,7,18,12,,,1,Matches
99,Adrià Altimira,es ESP,"DF,MF",Leganés,es La Liga,23,2001,18.1,6,0,0,27,28,3,27,16,24,,,0,Matches
100,Sergi Altimira,es ESP,MF,Real Betis,es La Liga,22,2001,21.9,4,0,0,35,33,0,5,22,37,,,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
101,Olabade Aluko,,DF,Leicester City,eng Premier League,,,0,0,0,0,0,0,0,0,0,1,,,0,Matches
102,Edson Álvarez,mx MEX,MF,West Ham United,eng Premier League,26,1997,19.7,9,1,1,42,18,4,7,18,26,,,0,Matches
103,Hugo Álvarez,es ESP,MF,Celta Vigo,es La Liga,21,2003,17.5,6,0,0,25,16,3,30,9,10,,,0,Matches
104,Julián Álvarez,ar ARG,FW,Atlético Madrid,es La Liga,24,2000,27.9,5,0,0,26,9,9,69,2,17,,,0,Matches
105,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,29,1995,19.8,4,0,0,15,15,0,3,35,13,,,0,Matches
106,Skelly Alvero,fr FRA,MF,Werder Bremen,de Bundesliga,22,2002,2.6,1,0,0,7,5,0,0,2,6,,,0,Matches
107,Will Alves,eng ENG,MF,Leicester City,eng Premier League,19,2005,0,0,0,0,0,0,0,0,0,0,,,0,Matches
108,Selim Amallah,ma MAR,MF,Valladolid,es La Liga,27,1996,15.3,6,0,0,32,28,1,31,14,19,,,0,Matches
109,Harry Amass,eng ENG,MF,Manchester Utd,eng Premier League,17,2007,3.8,0,0,0,2,4,1,9,2,2,,,0,Matches
110,Amath,sn SEN,"FW,MF",Valladolid,es La Liga,28,1996,4.2,1,0,0,4,7,2,6,2,0,,,0,Matches
111,Jordan Amavi,fr FRA,DF,Brest,fr Ligue 1,30,1994,8.8,2,0,0,15,6,0,15,7,17,,,0,Matches
112,Aurele Amenda,ch SUI,DF,Eintracht Frankfurt,de Bundesliga,21,2003,1.1,1,0,0,3,2,0,0,2,0,,,0,Matches
113,Kelvin Amian,fr FRA,DF,Nantes,fr Ligue 1,26,1998,24.1,5,0,0,23,12,1,38,13,35,,,0,Matches
114,Michael Amir Murillo,pa PAN,DF,Marseille,fr Ligue 1,28,1996,27.1,3,0,0,29,26,1,37,18,31,,,0,Matches
115,Nadiem Amiri,de GER,MF,Mainz 05,de Bundesliga,27,1996,27.5,9,2,1,44,51,2,165,19,28,,,0,Matches
116,Samuel Amo-Ameyaw,eng ENG,"FW,MF",Southampton,eng Premier League,18,2006,0.3,1,0,0,1,2,0,2,0,0,,,0,Matches
117,Samuel Amo-Ameyaw,eng ENG,MF,Strasbourg,fr Ligue 1,18,2006,3.6,0,0,0,3,5,1,6,3,3,,,0,Matches
118,Mathis Amougou,fr FRA,MF,Chelsea,eng Premier League,18,2006,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
119,Mathis Amougou,fr FRA,MF,Saint-Étienne,fr Ligue 1,18,2006,9.5,2,0,0,6,8,0,1,12,15,,,0,Matches
120,Mohamed Amoura,dz ALG,"FW,MF",Wolfsburg,de Bundesliga,24,2000,27.4,6,0,0,31,20,23,36,9,21,,,0,Matches
121,Sofyan Amrabat,ma MAR,MF,Fiorentina,it Serie A,27,1996,2,0,0,0,4,1,0,3,0,2,,,0,Matches
122,Joachim Andersen,dk DEN,DF,Crystal Palace,eng Premier League,28,1996,1,1,0,0,2,0,0,1,0,1,,,0,Matches
123,Joachim Andersen,dk DEN,DF,Fulham,eng Premier League,28,1996,28.7,6,1,0,18,19,0,12,33,16,,,1,Matches
124,Elliot Anderson,eng ENG,MF,Nottingham Forest,eng Premier League,21,2002,30.3,10,0,0,47,57,4,86,29,55,,,0,Matches
125,André,br BRA,MF,Wolves,eng Premier League,23,2001,27.5,7,0,0,36,34,0,0,37,55,,,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
126,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,33,1990,29.9,12,0,0,50,49,3,17,49,58,,,0,Matches
127,Marcos André,br BRA,FW,Valladolid,es La Liga,27,1996,13.2,5,0,0,12,28,5,1,3,6,,,0,Matches
128,Robert Andrich,de GER,"MF,DF",Leverkusen,de Bundesliga,29,1994,17.8,7,0,0,29,17,0,12,27,12,,,0,Matches
129,Angeliño,es ESP,"MF,DF",Roma,it Serie A,27,1997,35.3,1,0,0,32,33,5,119,28,24,,,0,Matches
130,Lorenzo Anghelè,it ITA,FW,Juventus,it Serie A,19,2005,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
131,Faustino Anjorin,eng ENG,MF,Empoli,it Serie A,22,2001,12.4,3,0,0,24,19,0,17,13,15,,,0,Matches
132,Waldemar Anton,de GER,DF,Dortmund,de Bundesliga,28,1996,21.7,4,0,0,20,20,1,23,32,21,,,1,Matches
133,Leandro Antonetti,pr PUR,FW,Sevilla,es La Liga,21,2003,0.3,0,0,0,0,0,0,0,0,0,,,0,Matches
134,Kyllian Antonio,fr FRA,"MF,DF",Lens,fr Ligue 1,16,2008,1.5,0,0,0,2,3,0,2,3,2,,,0,Matches
135,Michail Antonio,jm JAM,FW,West Ham United,eng Premier League,34,1990,9.3,1,0,0,12,7,4,25,0,2,,,0,Matches
136,Antoniu,es ESP,MF,Espanyol,es La Liga,21,2002,11.4,3,0,0,19,23,4,21,8,9,,,0,Matches
137,Antony,br BRA,"FW,MF",Manchester Utd,eng Premier League,24,2000,1.6,0,0,0,2,5,0,5,2,3,,,0,Matches
138,Antony,br BRA,MF,Real Betis,es La Liga,24,2000,15.1,2,1,0,15,27,1,41,9,10,,,0,Matches
139,Anuar,ma MAR,"MF,FW",Valladolid,es La Liga,29,1995,19.1,7,0,0,30,48,10,22,17,27,,,0,Matches
140,Dennis Appiah,fr FRA,DF,Saint-Étienne,fr Ligue 1,32,1992,23.6,2,0,0,37,9,2,53,29,43,,,0,Matches
141,Aritz Arambarri,es ESP,DF,Leganés,es La Liga,26,1998,2,0,0,0,0,0,0,0,3,1,,,0,Matches
142,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,28,1995,29.6,10,0,0,51,52,3,14,16,33,,,0,Matches
143,Jon Aramburu,ve VEN,DF,Real Sociedad,es La Liga,22,2002,27.3,8,0,0,50,42,3,46,28,68,,,0,Matches
144,Julian Araujo,mx MEX,DF,Bournemouth,eng Premier League,22,2001,5.5,2,0,0,7,2,1,9,5,5,,,0,Matches
145,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,25,1999,8.4,3,0,0,9,4,0,0,9,9,,,0,Matches
146,Cameron Archer,eng ENG,FW,Southampton,eng Premier League,23,2001,16,0,0,0,16,13,8,4,1,9,,,0,Matches
147,Carlens Arcus,ht HAI,DF,Angers,fr Ligue 1,28,1996,22.7,3,0,0,37,21,1,56,26,37,,,0,Matches
148,Alphonse Areola,fr FRA,GK,West Ham United,eng Premier League,31,1993,25.1,0,0,0,0,0,0,0,0,2,,,1,Matches
149,Adu Ares,es ESP,MF,Athletic Club,es La Liga,22,2001,0.2,0,0,0,0,0,0,1,0,0,,,0,Matches
150,Jesús Areso,es ESP,DF,Osasuna,es La Liga,25,1999,34.2,9,0,0,31,20,8,170,8,41,,,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
151,David Argüelles,es ESP,DF,Getafe,es La Liga,22,2002,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
