Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
104,Tommaso Martinelli,it ITA,GK,Fiorentina,it Serie A,17,2006,1,1,90,1,2,2,3,1,33.3,1,0,0,0,0,0,0,0,0,,Matches
105,Emiliano Martínez,ar ARG,GK,Aston Villa,eng Premier League,30,1992,34,34,"3,015",33.5,48,1.43,142,95,66.9,19,8,7,7,20.6,1,1,0,0,0,Matches
106,Josep Martinez,es ESP,GK,Genoa,it Serie A,25,1998,36,36,"3,239",36,43,1.19,126,87,68.3,11,13,12,8,22.2,4,3,1,0,25,Matches
107,Marc Martínez,es ESP,GK,Granada,es La Liga,33,1990,3,3,270,3,11,3.67,21,12,57.1,0,0,3,0,0,2,2,0,0,0,Matches
108,Remi Matthews,eng ENG,GK,Crystal Palace,eng Premier League,29,1994,1,0,4,0,1,22.5,1,0,0,0,0,0,0,,0,0,0,0,,Matches
109,Luís Maximiano,pt POR,GK,Almería,es La Liga,24,1999,33,33,"2,970",33,63,1.91,171,112,65.5,2,11,20,3,9.1,7,4,1,2,20,Matches
110,Alex Meret,it ITA,GK,Napoli,it Serie A,26,1997,31,31,"2,773",30.8,40,1.3,98,62,61.2,10,13,8,5,16.1,4,2,2,0,50,Matches
111,Alexander Meyer,de GER,GK,Dortmund,de Bundesliga,32,1991,8,7,695,7.7,9,1.17,28,19,67.9,4,1,2,3,42.9,0,0,0,0,,Matches
112,Vanja Milinković-Savić,rs SRB,GK,Torino,it Serie A,26,1997,36,36,"3,240",36,31,0.86,128,103,80.5,13,14,9,17,47.2,6,6,0,0,0,Matches
113,Antonio Mirante,it ITA,GK,Milan,it Serie A,40,1983,2,2,177,2,3,1.53,8,5,62.5,0,1,1,0,0,0,0,0,0,,Matches
114,Lorenzo Montipò,it ITA,GK,Hellas Verona,it Serie A,27,1996,37,37,"3,330",37,49,1.32,153,105,69.3,9,10,18,8,21.6,2,2,0,0,0,Matches
115,Kevin Müller,de GER,GK,Heidenheim,de Bundesliga,32,1991,34,34,"3,060",34,55,1.62,170,123,71.8,10,12,12,5,14.7,10,7,1,2,12.5,Matches
116,Arijanet Muric,xk KVX,GK,Burnley,eng Premier League,24,1998,10,10,900,10,16,1.6,77,63,80.5,2,4,4,0,0,2,1,1,0,50,Matches
117,Juan Musso,ar ARG,GK,Atalanta,it Serie A,29,1994,11,11,990,11,12,1.09,33,23,69.7,6,1,4,6,54.5,2,2,0,0,0,Matches
118,Yvon Mvogo,ch SUI,GK,Lorient,fr Ligue 1,29,1994,34,34,"3,060",34,66,1.94,202,144,71.3,7,8,19,4,11.8,8,8,0,0,0,Matches
119,Lapo Nava,it ITA,GK,Milan,it Serie A,19,2004,1,0,3,0,1,30,2,1,50,0,0,0,0,,0,0,0,0,,Matches
120,Keylor Navas,cr CRC,GK,Paris Saint-Germain,fr Ligue 1,36,1986,4,4,360,4,6,1.5,11,6,54.5,2,2,0,1,25,1,1,0,0,0,Matches
121,Massamba Ndiaye,sn SEN,GK,Clermont Foot,fr Ligue 1,21,2001,4,4,360,4,6,1.5,22,17,77.3,1,2,1,0,0,1,1,0,0,0,Matches
122,Neto,br BRA,GK,Bournemouth,eng Premier League,34,1989,32,32,"2,880",32,55,1.72,161,112,68.9,10,9,13,7,21.9,6,5,1,0,16.7,Matches
123,Manuel Neuer,de GER,GK,Bayern Munich,de Bundesliga,37,1986,23,23,"2,053",22.8,33,1.45,89,59,65.2,16,1,6,6,26.1,3,2,1,0,33.3,Matches
124,Moritz Nicolas,de GER,GK,Gladbach,de Bundesliga,25,1997,27,27,"2,430",27,49,1.81,159,113,71.7,6,11,10,4,14.8,4,4,0,0,0,Matches
125,Alexander Nübel,de GER,GK,Stuttgart,de Bundesliga,26,1996,30,30,"2,700",30,36,1.2,108,74,69.4,20,3,7,9,30,3,3,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
126,Ørjan Nyland,no NOR,GK,Sevilla,es La Liga,32,1990,24,24,"2,160",24,27,1.13,103,79,76.7,8,9,7,5,20.8,3,3,0,0,0,Matches
127,Jan Oblak,si SVN,GK,Atlético Madrid,es La Liga,30,1993,38,38,"3,420",38,43,1.13,143,101,70.6,24,4,10,11,28.9,2,1,0,1,0,Matches
128,Guillermo Ochoa,mx MEX,GK,Salernitana,it Serie A,38,1985,21,21,"1,890",21,44,2.1,112,74,67,0,6,15,1,4.8,7,7,0,0,0,Matches
129,Maduka Okoye,ng NGA,GK,Udinese,it Serie A,23,1999,21,21,"1,890",21,25,1.19,87,65,74.7,5,8,8,4,19,3,3,0,0,0,Matches
130,Robin Olsen,se SWE,GK,Aston Villa,eng Premier League,33,1990,5,4,405,4.5,13,2.89,32,20,59.4,1,0,3,0,0,1,0,1,0,100,Matches
131,Jonas Omlin,ch SUI,GK,Gladbach,de Bundesliga,29,1994,7,7,630,7,18,2.57,45,29,64.4,1,2,4,0,0,2,2,0,0,0,Matches
