Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
101,Luca Antonelli,it ITA,DF,Milan,it Serie A,30,1987,1.6,0,0,0,,0,0,,,0,0,Matches
102,Michail Antonio,jm JAM,"MF,FW",West Ham United,eng Premier League,27,1990,15,3,34,15,44.1,2.26,1,0.09,0.2,0,0,Matches
103,Mirko Antonucci,it ITA,"FW,MF",Roma,it Serie A,18,1999,0.3,0,1,0,0,2.9,0,0,,0,0,Matches
104,Vitorino Antunes,pt POR,DF,Getafe,es La Liga,30,1987,31.1,0,30,3,10,0.96,0.1,0,0,0,1,Matches
105,Dennis Aogo,de GER,MF,Stuttgart,de Bundesliga,30,1987,21.7,0,15,1,6.7,0.69,0.05,0,0,0,0,Matches
106,Houssem Aouar,dz ALG,MF,Lyon,fr Ligue 1,19,1998,27,6,49,18,36.7,1.81,0.67,0.12,0.33,0,0,Matches
107,Alberto Aquilani,it ITA,MF,Las Palmas,es La Liga,33,1984,14.4,0,12,4,33.3,0.83,0.28,0,0,0,0,Matches
108,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,21,1995,23.6,1,21,3,14.3,0.89,0.13,0.05,0.33,0,0,Matches
109,Guilherme Arana,br BRA,DF,Sevilla,es La Liga,20,1997,2.1,0,0,0,,0,0,,,0,0,Matches
110,Charles Aránguiz,cl CHI,MF,Leverkusen,de Bundesliga,28,1989,25.6,1,34,4,11.8,1.33,0.16,0.03,0.25,0,0,Matches
111,Luiz Araújo,br BRA,"MF,FW",Lille,fr Ligue 1,21,1996,22.4,5,50,15,30,2.23,0.67,0.1,0.33,0,0,Matches
112,Sergio Araujo,ar ARG,"FW,MF",Las Palmas,es La Liga,25,1992,0.4,0,2,0,0,4.62,0,0,,0,0,Matches
113,Anaitz Arbilla,es ESP,DF,Eibar,es La Liga,30,1987,26.8,2,17,4,23.5,0.63,0.15,0.12,0.5,0,0,Matches
114,Alphonse Areola,fr FRA,GK,Paris Saint-Germain,fr Ligue 1,24,1993,34,0,0,0,,0,0,,,0,0,Matches
115,Scott Arfield,ca CAN,MF,Burnley,eng Premier League,28,1988,14.8,2,18,7,38.9,1.22,0.47,0.11,0.29,0,0,Matches
116,Samuel Armenteros,se SWE,FW,Benevento,it Serie A,27,1990,4.8,1,5,2,40,1.05,0.42,0.2,0.5,0,0,Matches
117,Yoël Armougom,fr FRA,MF,Caen,fr Ligue 1,19,1998,1.5,0,0,0,,0,0,,,0,0,Matches
118,José Arnaiz,es ESP,"FW,MF",Barcelona,es La Liga,22,1995,0.1,0,0,0,,0,0,,,0,0,Matches
119,Marko Arnautović,at AUT,"FW,MF",West Ham United,eng Premier League,28,1989,25.7,11,71,33,46.5,2.76,1.28,0.15,0.33,0,0,Matches
120,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,23,1994,27.3,2,33,11,33.3,1.21,0.4,0.06,0.18,0,1,Matches
121,Jann-Fiete Arp,de GER,FW,Hamburger SV,de Bundesliga,17,2000,9.4,2,17,7,41.2,1.8,0.74,0.12,0.29,0,0,Matches
122,Alejandro Arribas,es ESP,DF,Dep La Coruña,es La Liga,28,1989,3,0,2,0,0,0.67,0,0,,0,0,Matches
123,Sergio Arribas,es ESP,MF,Leganés,es La Liga,22,1995,0.3,0,0,0,,0,0,,,0,0,Matches
124,Kepa Arrizabalaga,es ESP,GK,Athletic Club,es La Liga,22,1994,30,0,0,0,,0,0,,,0,0,Matches
125,Harry Arter,ie IRL,MF,Bournemouth,eng Premier League,27,1989,10.7,1,11,1,9.1,1.03,0.09,0.09,1,0,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
126,Aythami Artiles,es ESP,DF,Las Palmas,es La Liga,31,1986,2,0,0,0,,0,0,,,0,0,Matches
127,Kwadwo Asamoah,gh GHA,"DF,MF",Juventus,it Serie A,28,1988,17.4,0,7,1,14.3,0.4,0.06,0,0,0,0,Matches
128,Takuma Asano,jp JPN,"MF,FW",Stuttgart,de Bundesliga,22,1994,8,1,17,4,23.5,2.12,0.5,0.06,0.25,0,0,Matches
129,Santiago Ascacíbar,ar ARG,MF,Stuttgart,de Bundesliga,20,1997,26.5,0,11,2,18.2,0.42,0.08,0,0,0,0,Matches
130,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,28,1989,23,0,0,0,,0,0,,,0,0,Matches
131,Marco Asensio,es ESP,"MF,FW",Real Madrid,es La Liga,21,1996,20.5,6,56,23,41.1,2.73,1.12,0.11,0.26,0,0,Matches
132,Iago Aspas,es ESP,FW,Celta Vigo,es La Liga,29,1987,32.6,22,94,44,46.8,2.88,1.35,0.21,0.45,2,3,Matches
133,Benoît Assou-Ekotto,cm CMR,DF,Metz,fr Ligue 1,33,1984,11.7,0,2,0,0,0.17,0,0,,0,0,Matches
134,Simon Asta,de GER,"DF,MF",Augsburg,de Bundesliga,16,2001,0.1,0,0,0,,0,0,,,0,0,Matches
135,Davide Astori,it ITA,DF,Fiorentina,it Serie A,30,1987,25,1,9,2,22.2,0.36,0.08,0.11,0.5,0,0,Matches
136,Christian Atsu,gh GHA,MF,Newcastle United,eng Premier League,25,1992,19.8,2,35,12,34.3,1.77,0.61,0.06,0.17,0,0,Matches
137,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,eng Premier League,28,1989,11.7,10,31,19,61.3,2.64,1.62,0.29,0.47,1,2,Matches
138,Pierre-Emerick Aubameyang,ga GAB,FW,Dortmund,de Bundesliga,28,1989,15.7,13,59,26,44.1,3.75,1.65,0.17,0.38,3,4,Matches
139,Jean-Kévin Augustin,fr FRA,FW,RB Leipzig,de Bundesliga,20,1997,14.1,9,37,18,48.6,2.63,1.28,0.22,0.44,1,2,Matches
140,Ludwig Augustinsson,se SWE,"DF,MF",Werder Bremen,de Bundesliga,23,1994,28.1,1,24,7,29.2,0.85,0.25,0.04,0.14,0,0,Matches
141,Yann Aurel Bisseck,de GER,DF,Köln,de Bundesliga,16,2000,1.7,0,0,0,,0,0,,,0,0,Matches
142,Serge Aurier,ci CIV,"DF,MF",Tottenham Hotspur,eng Premier League,24,1992,15.9,2,15,6,40,0.95,0.38,0.13,0.33,0,0,Matches
143,Charlie Austin,eng ENG,FW,Southampton,eng Premier League,28,1989,11.5,7,47,25,53.2,4.08,2.17,0.13,0.24,1,1,Matches
144,Danilo Avelar,br BRA,"DF,MF",Amiens,fr Ligue 1,28,1989,19.2,1,7,1,14.3,0.36,0.05,0.14,1,0,0,Matches
145,Felipe Avenatti,uy URU,FW,Bologna,it Serie A,24,1993,5.2,0,4,1,25,0.77,0.19,0,0,0,0,Matches
146,Durel Avounou,cg CGO,"MF,DF",Caen,fr Ligue 1,19,1997,7.2,0,5,1,20,0.69,0.14,0,0,0,0,Matches
147,Chidozie Awaziem,ng NGA,DF,Nantes,fr Ligue 1,20,1997,16.8,1,13,2,15.4,0.77,0.12,0.08,0.5,0,0,Matches
148,André Ayew,gh GHA,"MF,FW",West Ham United,eng Premier League,27,1989,9.9,3,13,5,38.5,1.31,0.5,0.23,0.6,0,1,Matches
149,André Ayew,gh GHA,"FW,MF",Swansea City,eng Premier League,27,1989,10.6,0,13,7,53.8,1.23,0.66,0,0,0,0,Matches
150,Jordan Ayew,gh GHA,"FW,MF",Swansea City,eng Premier League,25,1991,31.7,7,67,21,31.3,2.11,0.66,0.09,0.29,1,1,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
151,Karim Azamoum,fr FRA,MF,Troyes,fr Ligue 1,27,1990,25,1,23,7,30.4,0.92,0.28,0.04,0.14,0,0,Matches
152,César Azpilicueta,es ESP,DF,Chelsea,eng Premier League,27,1989,37,2,13,3,23.1,0.35,0.08,0.15,0.67,0,0,Matches
153,Ludovic Baal,gf GUF,DF,Rennes,fr Ligue 1,31,1986,12.9,0,0,0,,0,0,,,0,0,Matches
154,Khouma Babacar,sn SEN,FW,Fiorentina,it Serie A,24,1993,5,4,23,6,26.1,4.62,1.21,0.09,0.33,2,2,Matches
