Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
318,Jeremie Boga,ci CIV,"MF,FW",Granada,es La Liga,19,1997,16.2,2,29,9,31,1.79,0.56,0.07,0.22,0,0,Matches
319,Yannick Bolasie,cd COD,"FW,MF",Crystal Palace,eng Premier League,27,1989,0.3,0,0,0,,0,0,,,0,0,Matches
320,Yannick Bolasie,cd COD,"MF,FW",Everton,eng Premier League,27,1989,11.4,1,27,6,22.2,2.38,0.53,0.04,0.17,0,0,Matches
321,Giacomo Bonaventura,it ITA,"MF,FW",Milan,it Serie A,26,1989,17.4,3,47,11,23.4,2.7,0.63,0.06,0.27,0,0,Matches
322,Daniele Bonera,it ITA,DF,Villarreal,es La Liga,35,1981,6,0,0,0,,0,0,,,0,0,Matches
323,Theo Bongonda,cd COD,"MF,FW",Celta Vigo,es La Liga,20,1995,24,1,32,7,21.9,1.33,0.29,0.03,0.14,0,0,Matches
324,Tano Bonnín,do DOM,DF,Osasuna,es La Liga,26,1990,8.2,0,0,0,,0,0,,,0,0,Matches
325,Leonardo Bonucci,it ITA,DF,Juventus,it Serie A,29,1987,26.8,3,19,5,26.3,0.71,0.19,0.16,0.6,0,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
326,Wilfried Bony,ci CIV,FW,Stoke City,eng Premier League,27,1988,7.6,2,21,5,23.8,2.76,0.66,0.1,0.4,0,0,Matches
327,Celso Borges,cr CRC,MF,Dep La Coruña,es La Liga,28,1988,30.2,6,41,10,24.4,1.36,0.33,0.1,0.4,2,3,Matches
328,Fabio Borini,it ITA,"FW,MF",Sunderland,eng Premier League,25,1991,19.3,2,33,14,42.4,1.71,0.72,0.06,0.14,0,0,Matches
329,Rafael Borré,co COL,FW,Villarreal,es La Liga,20,1995,4,2,11,9,81.8,2.77,2.27,0.18,0.22,0,0,Matches
330,Marco Borriello,it ITA,FW,Cagliari,it Serie A,34,1982,28.8,16,80,34,42.5,2.78,1.18,0.19,0.44,1,2,Matches
331,Artur Boruc,pl POL,GK,Bournemouth,eng Premier League,36,1980,35,0,0,0,,0,0,,,0,0,Matches
332,Olivier Boscagli,fr FRA,DF,Nice,fr Ligue 1,18,1997,0.5,0,0,0,,0,0,,,0,0,Matches
333,Gabriel Boschilia,br BRA,"MF,FW",Monaco,fr Ligue 1,20,1996,4.9,6,20,12,60,4.12,2.47,0.3,0.5,0,0,Matches
334,Ryad Boudebouz,dz ALG,"MF,FW",Montpellier,fr Ligue 1,26,1990,32.5,11,60,24,40,1.85,0.74,0.13,0.33,3,3,Matches
