Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
38,Emil Audero,id IDN,GK,it Inter,26,1997,1,0,0,0,,0,0,,,0,0,Matches
39,Carlos Augusto,br BRA,"MF,DF",it Inter,24,1999,5.3,0,6,2,33.3,1.14,0.38,0,0,0,0,Matches
40,Yann Aurel Bisseck,de GER,DF,it Inter,22,2000,1.9,0,2,1,50,1.05,0.52,0,0,0,0,Matches
41,Fredrik Aursnes,no NOR,"MF,DF",pt Benfica,27,1995,6,0,2,2,100,0.33,0.33,0,0,0,0,Matches
42,Kaan Ayhan,tr TUR,"MF,DF",tr Galatasaray,28,1994,4.2,0,3,0,0,0.71,0,0,,0,0,Matches
43,Neil El Aynaoui,ma MAR,MF,fr Lens,22,2001,1.5,0,0,0,,0,0,,,0,0,Matches
44,Irakli Azarov,ge GEO,DF,ua Shakhtar Donetsk,21,2002,3.3,0,3,1,33.3,0.91,0.3,0,0,0,0,Matches
45,César Azpilicueta,es ESP,"DF,MF",es Atlético Madrid,33,1989,3.2,0,0,0,,0,0,,,0,0,Matches
46,Isaac Babadi,nl NED,MF,nl PSV,18,2005,0.2,0,0,0,,0,0,,,0,0,Matches
47,Loïc Bade,fr FRA,DF,es Sevilla,23,2000,1.1,0,0,0,,0,0,,,0,0,Matches
48,Alexander Bah,dk DEN,DF,pt Benfica,25,1997,2.1,0,0,0,,0,0,,,0,0,Matches
49,Samson Baidoo,at AUT,DF,at RB Salzburg,19,2004,3.4,0,1,0,0,0.3,0,0,,0,0,Matches
50,Cédric Bakambu,cd COD,FW,tr Galatasaray,32,1991,0.4,1,7,3,42.9,16.58,7.11,0.14,0.33,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
51,Johan Bakayoko,be BEL,"FW,MF",nl PSV,20,2003,7.2,1,24,10,41.7,3.33,1.39,0.04,0.1,0,0,Matches
52,Alejandro Balde,es ESP,DF,es Barcelona,19,2003,3.7,0,2,0,0,0.54,0,0,,0,0,Matches
53,Michel-Ange Balikwisha,cd COD,"MF,FW",be Antwerp,22,2001,4.3,1,3,2,66.7,0.7,0.47,0.33,0.5,0,0,Matches
54,David von Ballmoos,ch SUI,GK,ch Young Boys,28,1994,1,0,0,0,,0,0,,,0,0,Matches
55,Simon Banza,cd COD,FW,pt Braga,26,1996,3.8,0,14,1,7.1,3.7,0.26,0,0,0,0,Matches
