Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
53,Nicolò Barella,it ITA,MF,it Inter,25,1997,12,12,991,11,3,0,3,3,0,0,3,0,0.27,0,0.27,0.27,0.27,Matches
54,Borna Barišić,hr CRO,DF,sct Rangers,29,1992,6,5,465,5.2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
55,Enzo Barrenechea,ar ARG,MF,it Juventus,21,2001,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
56,Pablo Barrios,es ESP,MF,es Atlético Madrid,19,2003,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
57,Calvin Bassey,ng NGA,DF,nl Ajax,22,1999,6,6,540,6,0,1,1,0,0,0,1,0,0,0.17,0.17,0,0.17,Matches
58,Fortune Bassey,ng NGA,FW,cz Viktoria Plzeň,23,1998,5,1,134,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
59,Alessandro Bastoni,it ITA,DF,it Inter,23,1999,12,12,983,10.9,0,3,3,0,0,0,2,0,0,0.27,0.27,0,0.27,Matches
60,Dylan Batubinsika,cd COD,DF,il Maccabi Haifa,26,1996,5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
61,Martin Baturina,hr CRO,MF,hr Dinamo Zagreb,19,2003,5,0,60,0.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
62,Raoul Bellanova,it ITA,MF,it Inter,22,2000,3,1,120,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
63,Héctor Bellerín,es ESP,DF,es Barcelona,27,1995,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
64,Jude Bellingham,eng ENG,MF,de Dortmund,19,2003,7,7,630,7,4,1,5,4,0,0,2,0,0.57,0.14,0.71,0.57,0.71,Matches
65,Ismaël Bennacer,dz ALG,MF,it Milan,24,1997,10,9,585,6.5,1,0,1,1,0,0,1,0,0.15,0,0.15,0.15,0.15,Matches
66,Rodrigo Bentancur,uy URU,MF,eng Tottenham Hotspur,25,1997,6,6,503,5.6,1,0,1,1,0,0,2,0,0.18,0,0.18,0.18,0.18,Matches
67,Karim Benzema,fr FRA,FW,es Real Madrid,34,1987,10,9,744,8.3,4,1,5,4,0,0,0,0,0.48,0.12,0.6,0.48,0.6,Matches
68,Steven Berghuis,nl NED,"MF,FW",nl Ajax,30,1991,6,6,462,5.1,2,2,4,2,0,0,1,0,0.39,0.39,0.78,0.39,0.78,Matches
69,Steven Bergwijn,nl NED,FW,nl Ajax,24,1997,6,6,519,5.8,2,0,2,1,1,1,1,0,0.35,0,0.35,0.17,0.17,Matches
70,Alexandro Bernabei,ar ARG,"DF,MF",sct Celtic,21,2000,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
71,Bernardo,br BRA,DF,at RB Salzburg,27,1995,4,2,274,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
72,Juan Bernat,es ESP,"DF,MF",fr Paris Saint-Germain,29,1993,5,3,275,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
73,Victor Bernth Kristiansen,dk DEN,"DF,MF",dk FC Copenhagen,19,2002,6,5,483,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
74,Modou Biramé Ndiaye,sn SEN,MF,cz Viktoria Plzeň,25,1996,4,2,182,2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
75,Yves Bissouma,ml MLI,MF,eng Tottenham Hotspur,25,1996,3,0,92,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
76,Janis Blaswich,de GER,GK,de RB Leipzig,31,1991,6,5,528,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
77,Daley Blind,nl NED,DF,nl Ajax,32,1990,5,5,407,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
78,Petar Bočkaj,hr CRO,MF,hr Dinamo Zagreb,26,1996,3,0,39,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
79,Nicolai Boilesen,dk DEN,DF,dk FC Copenhagen,30,1992,2,1,100,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
80,Valerii Bondar,ua UKR,DF,ua Shakhtar Donetsk,23,1999,6,6,540,6,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
81,Artem Bondarenko,ua UKR,MF,ua Shakhtar Donetsk,21,2000,6,6,484,5.4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
82,Leonardo Bonucci,it ITA,DF,it Juventus,35,1987,6,5,444,4.9,1,0,1,1,0,0,0,0,0.2,0,0.2,0.2,0.2,Matches
83,Gonçalo Borges,pt POR,MF,pt Porto,21,2001,4,0,39,0.4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
84,Rafael Borré,co COL,FW,de Eintracht Frankfurt,26,1995,8,1,228,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
85,Yassine Bounou,ma MAR,GK,es Sevilla,31,1991,4,4,360,4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
86,Dedryck Boyata,be BEL,DF,be Club Brugge,31,1990,3,1,136,1.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
87,Julian Brandt,de GER,"MF,FW",de Dortmund,26,1996,7,6,476,5.3,1,1,2,1,0,0,0,0,0.19,0.19,0.38,0.19,0.38,Matches
88,Gleison Bremer,br BRA,DF,it Juventus,25,1997,3,3,270,3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
89,Brian Brobbey,nl NED,FW,nl Ajax,20,2002,5,1,116,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
90,Armando Broja,al ALB,FW,eng Chelsea,20,2001,5,0,116,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
91,Marcelo Brozović,hr CRO,MF,it Inter,29,1992,9,5,549,6.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
92,Pavel Bucha,cz CZE,MF,cz Viktoria Plzeň,24,1998,5,4,364,4,0,0,0,0,0,0,0,1,0,0,0,0,0,Matches
93,Tajon Buchanan,ca CAN,"MF,FW",be Club Brugge,23,1999,6,6,520,5.8,0,2,2,0,0,0,2,0,0,0.35,0.35,0,0.35,Matches
94,Marko Bulat,hr CRO,"DF,MF",hr Dinamo Zagreb,20,2001,3,0,29,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
95,Sergio Busquets,es ESP,MF,es Barcelona,34,1988,4,4,289,3.2,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
96,Aurélio Buta,pt POR,"MF,DF",de Eintracht Frankfurt,25,1997,2,2,158,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
