Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
64,Paulo Bernardo,pt POR,MF,pt Benfica,19,2002,0.5,0,0,0,0,0,0,1,0,1,,,0,Matches
65,Veljko Birmančević,rs SRB,"FW,MF",se Malmö,23,1998,3.9,0,0,0,2,10,0,2,2,3,,,0,Matches
66,Antonio Blanco,es ESP,MF,es Real Madrid,21,2000,0.1,0,0,0,0,1,0,0,0,0,,,0,Matches
67,Daley Blind,nl NED,DF,nl Ajax,31,1990,6.3,1,0,0,5,0,1,17,6,4,,,0,Matches
68,Valerii Bondar,ua UKR,DF,ua Shakhtar Donetsk,22,1999,1,0,0,0,1,0,0,0,1,0,,,0,Matches
69,Artem Bondarenko,ua UKR,MF,ua Shakhtar Donetsk,20,2000,0.9,0,0,0,1,2,0,0,1,2,,,0,Matches
70,Solomon Bonnah,nl NED,"DF,MF",de RB Leipzig,17,2003,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
71,Leonardo Bonucci,it ITA,DF,it Juventus,34,1987,6.4,0,0,0,0,2,0,1,15,5,,,1,Matches
72,Sebastiaan Bornauw,be BEL,DF,de Wolfsburg,22,1999,2.3,1,0,0,3,0,0,0,2,2,,,0,Matches
73,Sven Botman,nl NED,DF,fr Lille,21,2000,4.6,1,0,0,1,4,0,0,5,2,,,0,Matches
74,Yassine Bounou,ma MAR,GK,es Sevilla,30,1991,6,0,0,0,1,0,0,0,0,0,,,0,Matches
75,Denys Boyko,ua UKR,GK,ua Dynamo Kyiv,33,1988,1,0,0,0,0,0,0,0,0,0,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
76,Can Bozdogan,de GER,MF,tr Beşiktaş,20,2001,2.4,1,0,0,4,7,0,0,1,4,,,0,Matches
77,Domagoj Bradarić,hr CRO,"DF,MF",fr Lille,21,1999,0.2,0,0,0,1,0,0,0,0,1,,,0,Matches
78,Conor Bradley,nir NIR,"DF,MF",eng Liverpool,18,2003,0,0,0,0,0,0,0,0,0,0,,,0,Matches
79,Daniel Bragança,pt POR,MF,pt Sporting CP,22,1999,1.5,1,0,0,3,6,0,0,3,5,,,0,Matches
80,Julian Brandt,de GER,"MF,FW",de Dortmund,25,1996,4.4,0,0,0,2,2,1,21,4,4,,,0,Matches
81,Brian Brobbey,nl NED,FW,nl Ajax,19,2002,0.1,0,0,0,0,1,2,0,0,0,,,0,Matches
82,Brian Brobbey,nl NED,FW,de RB Leipzig,19,2002,1.2,0,0,0,3,2,1,1,0,1,,,0,Matches
83,John Brooks,us USA,DF,de Wolfsburg,28,1993,3.7,3,1,1,5,0,0,0,7,3,,,0,Matches
84,Franz Brorsson,se SWE,DF,se Malmö,25,1996,5,2,0,0,5,1,0,0,9,3,,,0,Matches
85,Marcelo Brozović,hr CRO,MF,it Inter,28,1992,7,0,0,0,5,5,0,8,14,10,,,0,Matches
86,Nicolas Bürgy,ch SUI,DF,ch Young Boys,25,1995,2,0,0,0,2,2,1,0,4,0,,,0,Matches
87,Heorhiy Bushchan,ua UKR,GK,ua Dynamo Kyiv,27,1994,5,0,0,0,0,0,0,0,0,0,,,0,Matches
88,Sergio Busquets,es ESP,MF,es Barcelona,33,1988,5.4,1,0,0,9,14,0,0,11,8,,,0,Matches
89,Vitaliy Buyalskyi,ua UKR,MF,ua Dynamo Kyiv,28,1993,4.8,1,0,0,2,14,4,1,2,3,,,0,Matches
90,Jovane Cabral,cv CPV,FW,pt Sporting CP,23,1998,0.9,0,0,0,2,0,0,1,2,0,,,0,Matches
91,Davide Calabria,it ITA,DF,it Milan,24,1996,3.5,0,0,0,2,3,0,7,2,7,,,0,Matches
