Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
76,Lennart Grill,de GER,GK,Leverkusen,de Bundesliga,21,1999,4,4,360,4,7,1.75,20,13,65,1,0,3,1,25,0,0,0,0,,Matches
77,Vicente Guaita,es ESP,GK,Crystal Palace,eng Premier League,33,1987,37,37,"3,330",37,64,1.73,166,106,63.3,11,8,18,8,21.6,4,3,1,0,25,Matches
78,Péter Gulácsi,hu HUN,GK,RB Leipzig,de Bundesliga,30,1990,33,33,"2,970",33,30,0.91,78,50,65.4,19,8,6,15,45.5,3,3,0,0,0,Matches
79,Samir Handanović,si SVN,GK,Inter,it Serie A,36,1984,37,37,"3,240",36,33,0.92,104,77,72.1,27,7,3,14,37.8,6,4,2,0,33.3,Matches
80,Dean Henderson,eng ENG,GK,Manchester Utd,eng Premier League,23,1997,13,12,"1,125",12.5,12,0.96,52,40,76.9,9,2,1,4,33.3,0,0,0,0,,Matches
81,Sergio Herrera,es ESP,GK,Osasuna,es La Liga,27,1993,33,32,"2,958",32.9,40,1.22,121,87,70.2,10,8,14,10,31.3,8,4,3,1,42.9,Matches
82,Marwin Hitz,ch SUI,GK,Dortmund,de Bundesliga,32,1987,16,16,"1,395",15.5,16,1.03,43,29,67.4,11,2,3,7,43.8,2,2,0,0,0,Matches
83,Timo Horn,de GER,GK,Köln,de Bundesliga,27,1993,34,34,"3,009",33.4,59,1.76,147,96,64.6,8,9,17,5,14.7,8,7,1,0,12.5,Matches
84,Lukáš Hrádecký,fi FIN,GK,Leverkusen,de Bundesliga,30,1989,29,29,"2,565",28.5,29,1.02,82,55,65.9,13,9,7,8,27.6,2,1,1,0,50,Matches
85,Rune Jarstein,no NOR,GK,Hertha BSC,de Bundesliga,35,1984,8,8,720,8,13,1.62,31,20,61.3,2,1,5,1,12.5,2,1,1,0,50,Matches
86,Sam Johnstone,eng ENG,GK,West Brom,eng Premier League,27,1993,37,37,"3,330",37,74,2,229,164,70.7,4,11,22,6,16.2,12,7,2,3,22.2,Matches
87,Bingourou Kamara,sn SEN,GK,Strasbourg,fr Ligue 1,23,1996,8,8,720,8,14,1.75,32,19,59.4,2,0,6,2,25,1,1,0,0,0,Matches
88,Loris Karius,de GER,GK,Union Berlin,de Bundesliga,27,1993,4,3,292,3.2,1,0.31,5,4,80,1,2,0,2,66.7,0,0,0,0,,Matches
89,Eiji Kawashima,jp JPN,GK,Strasbourg,fr Ligue 1,37,1983,24,24,"2,160",24,31,1.29,87,60,67.8,8,7,9,8,33.3,5,3,1,1,25,Matches
90,Caoimhín Kelleher,ie IRL,GK,Liverpool,eng Premier League,21,1998,2,2,180,2,1,0.5,7,6,85.7,1,0,1,1,50,0,0,0,0,,Matches
91,Gregor Kobel,ch SUI,GK,Stuttgart,de Bundesliga,22,1997,33,33,"2,970",33,54,1.64,151,103,67.5,11,9,13,5,15.2,7,5,2,0,28.6,Matches
92,Alban Lafont,ci CIV,GK,Nantes,fr Ligue 1,21,1999,38,38,"3,420",38,55,1.45,155,112,71,9,13,16,5,13.2,13,10,2,1,16.7,Matches
93,Michael Langer,at AUT,GK,Schalke 04,de Bundesliga,35,1985,3,2,239,2.7,12,4.52,24,12,50,0,0,2,0,0,0,0,0,0,,Matches
